danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.8170000000000001,0.716,6,-8.898,0,0.14400000000000002,0.0427,0.0026300000000000004,0.358,0.6920000000000001,123.474,audio_features,5W3cjX2J3tjhG8zb6u0qHn,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/tracks/5W3cjX2J3tjhG8zb6u0qHn,https://api.spotify.com/v1/audio-analysis/5W3cjX2J3tjhG8zb6u0qHn,224693,4
0.9510000000000001,0.597,0,-4.651,0,0.0669,0.10400000000000001,0.0,0.0718,0.8190000000000001,125.024,audio_features,0svvvbTUgEy79F6Sxweyjo,spotify:track:0svvvbTUgEy79F6Sxweyjo,https://api.spotify.com/v1/tracks/0svvvbTUgEy79F6Sxweyjo,https://api.spotify.com/v1/audio-analysis/0svvvbTUgEy79F6Sxweyjo,216467,4
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4
0.666,0.781,8,-6.882,1,0.059300000000000005,0.111,0.0,0.108,0.367,93.532,audio_features,64gCM9yZv2jpNflclKUnXu,spotify:track:64gCM9yZv2jpNflclKUnXu,https://api.spotify.com/v1/tracks/64gCM9yZv2jpNflclKUnXu,https://api.spotify.com/v1/audio-analysis/64gCM9yZv2jpNflclKUnXu,287240,4
0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,audio_features,0gzqZ9d1jIKo9psEIthwXe,spotify:track:0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/tracks/0gzqZ9d1jIKo9psEIthwXe,https://api.spotify.com/v1/audio-analysis/0gzqZ9d1jIKo9psEIthwXe,248400,4
0.543,0.9440000000000001,6,-7.495,1,0.0543,0.402,0.0005639999999999999,0.0373,0.735,101.174,audio_features,6C4LXC9UFH1IKiHYOp0BiJ,spotify:track:6C4LXC9UFH1IKiHYOp0BiJ,https://api.spotify.com/v1/tracks/6C4LXC9UFH1IKiHYOp0BiJ,https://api.spotify.com/v1/audio-analysis/6C4LXC9UFH1IKiHYOp0BiJ,279440,4
0.9500000000000001,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,audio_features,2GGMabyHXnJmjY6CXhhB2e,spotify:track:2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,183527,4
0.842,0.777,6,-3.8689999999999998,0,0.226,0.209,8.67e-06,0.229,0.751,120.081,audio_features,0CJ31BEjjl1tPIj0CKi9kH,spotify:track:0CJ31BEjjl1tPIj0CKi9kH,https://api.spotify.com/v1/tracks/0CJ31BEjjl1tPIj0CKi9kH,https://api.spotify.com/v1/audio-analysis/0CJ31BEjjl1tPIj0CKi9kH,206787,4
0.607,0.923,1,-6.777,1,0.09480000000000001,0.0193,1.1e-06,0.09240000000000001,0.868,184.819,audio_features,6UEfyhyfhYQsyipxOd95Ie,spotify:track:6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/tracks/6UEfyhyfhYQsyipxOd95Ie,https://api.spotify.com/v1/audio-analysis/6UEfyhyfhYQsyipxOd95Ie,213973,4
0.727,0.937,11,-2.871,0,0.28600000000000003,0.00417,0.0,0.091,0.749,132.067,audio_features,03UrZgTINDqvnUMbbIMhql,spotify:track:03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/audio-analysis/03UrZgTINDqvnUMbbIMhql,219493,4
0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,audio_features,4wPRYDnqrxt3Duqhf7bbcR,spotify:track:4wPRYDnqrxt3Duqhf7bbcR,https://api.spotify.com/v1/tracks/4wPRYDnqrxt3Duqhf7bbcR,https://api.spotify.com/v1/audio-analysis/4wPRYDnqrxt3Duqhf7bbcR,243413,4
0.772,0.795,7,-5.945,1,0.0328,0.201,0.0,0.0765,0.8190000000000001,126.847,audio_features,43THPstJP6RXLMd7ryXyNf,spotify:track:43THPstJP6RXLMd7ryXyNf,https://api.spotify.com/v1/tracks/43THPstJP6RXLMd7ryXyNf,https://api.spotify.com/v1/audio-analysis/43THPstJP6RXLMd7ryXyNf,335747,4
0.7000000000000001,0.9590000000000001,9,-4.483,1,0.0499,0.10300000000000001,0.0,0.404,0.877,131.005,audio_features,4rKO78BwBg2IBK3aoymw29,spotify:track:4rKO78BwBg2IBK3aoymw29,https://api.spotify.com/v1/tracks/4rKO78BwBg2IBK3aoymw29,https://api.spotify.com/v1/audio-analysis/4rKO78BwBg2IBK3aoymw29,177939,4
0.751,0.834,1,-5.444,0,0.0437,0.30000000000000004,1.77e-05,0.355,0.894,95.053,audio_features,6naxalmIoLFWR0siv8dnQQ,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4
0.727,0.974,4,-2.261,0,0.0664,0.10300000000000001,0.000532,0.17400000000000002,0.965,79.526,audio_features,2PpruBYCo4H7WOBJ7Q2EwM,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4
0.743,0.766,0,-6.375,1,0.026500000000000003,0.0873,0.0,0.509,0.61,127.96,audio_features,4kLLWz7srcuLKA7Et40PQR,spotify:track:4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR,https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR,289133,4
0.648,0.931,1,-3.15,0,0.181,0.009370000000000002,0.0,0.752,0.744,153.649,audio_features,2ygMBIctKIAfbEBcT9065L,spotify:track:2ygMBIctKIAfbEBcT9065L,https://api.spotify.com/v1/tracks/2ygMBIctKIAfbEBcT9065L,https://api.spotify.com/v1/audio-analysis/2ygMBIctKIAfbEBcT9065L,213067,4
0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.8240000000000001,0.496,113.015,audio_features,33yAEqzKXexYM3WlOYtTfQ,spotify:track:33yAEqzKXexYM3WlOYtTfQ,https://api.spotify.com/v1/tracks/33yAEqzKXexYM3WlOYtTfQ,https://api.spotify.com/v1/audio-analysis/33yAEqzKXexYM3WlOYtTfQ,242267,4
0.92,0.654,11,-3.051,0,0.040100000000000004,0.0236,0.015300000000000001,0.036000000000000004,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
